文件题目,发布机构,发布时间,索 引 号,关 键 字,主题分类,内容.txt
西安市工业和信息化委员会信息公开指南,工信委,2018-05-17 10:02, 013353737/2018-02800743,电子政务,电子政务,2800743.txt
西安市工业和信息化委员会信息公开工作规定,工信委,2018-04-17 10:01, 013353737/2018-02800715,电子政务,电子政务,2800715.txt
西安市工业和信息化委员会行政复议工作规定,工信委,2011-02-09 10:41, 013353737/2012-00484020,电子政务,电子政务,0484020.txt
西安市工业和信息化委员会信息公开责任追究暂行办法,工信委,2011-02-09 10:39, 013353737/2017-00484017,电子政务,电子政务,0484017.txt
西安市工业和信息化委员会信息公开社会评议暂行规定,工信委,2011-02-09 10:38, 013353737/2017-00484013,电子政务,电子政务,0484013.txt
西安市工业和信息化委员会2017年度政府网站工作年度报表,工信委,2018-01-29 09:23, 013353737/2018-02730604,报表,其他,2730604.txt
西安市工业和信息化委员会2017年政府信息公开工作年度报告,工信委,2018-01-11 20:24, 013353737/2018-02717053,电子政务,电子政务,2717053.txt
西安市工业和信息化委员会2016年政府信息公开工作年度报告,工信委,2017-02-17 15:15, 013353737/2017-02334087,电子政务,电子政务,2334087.txt
西安市工业和信息化委员会2015年政府信息公开工作年度报告,工信委,2016-01-19 12:07, 013353737/2016-01922719,电子政务,电子政务,1922719.txt
西安市工业和信息化委员会2014年政府信息公开工作报告,工信委,2015-02-10 11:30, 013353737/2015-01491251,电子政务,电子政务,1491251.txt
西安市工业和信息化委员会（市中小企业促进局）主要职责,工信委,2018-04-17 10:05, 013353737/2018-02800757,职能,其他,2800757.txt
西安市工信委领导介绍及分工,工信委,2018-06-13 17:28, 013353737/2018-00759867,领导,机关事务,0759867.txt
西安市工业和信息化委员会各处室工作职责,工信委,2018-04-17 10:21, 013353737/2018-02800863,机构,其他,2800863.txt
西安市黄金行业管理办公室,工信委,2018-04-17 17:03, 013353737/2018-02801368,机构,其他,2801368.txt
西安市节能监察监测中心,工信委,2018-04-17 17:02, 013353737/2018-02801358,机构,其他,2801358.txt
西安市工业交通干部学校（专技继续教育）,工信委,2018-04-17 16:58, 013353737/2018-02801345,机构,其他,2801345.txt
西安市工业技工学校,工信委,2018-04-17 16:56, 013353737/2018-02801339,机构,其他,2801339.txt
西安市信息中心（西安市联合征信中心）,工信委,2018-04-17 15:53, 013353737/2018-02801270,机构,其他,2801270.txt
西安市社区信息服务管理中心,工信委,2018-04-17 14:17, 013353737/2018-02801098,机构,其他,2801098.txt
西安市中小企业服务中心,工信委,2018-04-17 12:01, 013353737/2018-02801051,机构,其他,2801051.txt
工业和信息化部关于印发《推动企业上云实施指南（2018-2020年）》的通知,工信委,2018-09-07 11:22, 013353737/2018-02950515,政策,其他,2950515.txt
工业和信息化部关于印发《工业互联网平台建设及推广指南》和《工业互联网平台评价方法》的通知,工信委,2018-07-20 17:36, 013353737/2018-02917320,通知,文秘工作,2917320.txt
工业和信息化部办公厅关于印发《工业和信息化部“双随机一公开”监管实施办法》的通知,工信委,2018-07-17 10:19, 013353737/2018-02917289,通知,文秘工作,2917289.txt
道路机动车辆生产企业及产品（第305批）,工信委,2018-03-19 13:26, 013353737/2018-02774360,公告,文秘工作,2774360.txt
国务院关于深化“互联网+先进制造业”发展工业互联网的指导意见,工信委,2017-11-30 16:11, 013353737/2018-02917094,互联网+先进制造业,其他,2917094.txt
中华人民共和国中小企业促进法,工信委,2017-09-04 17:42, 013353737/2018-02573371,法律,司法,2573371.txt
工业和信息化部财政部关于推动中小企业公共服务平台网络有效运营的指导意见,工信委,2017-08-03 16:21, 013353737/2018-02514274,意见,文秘工作,2514274.txt
国家中小企业公共服务示范平台认定管理办法,工信委,2017-07-05 14:53, 013353737/2018-02488870,办法,文秘工作,2488870.txt
新能源汽车生产企业及产品准入管理规定,工信委,2017-01-16 17:58, 013353737/2018-02573393,规定,文秘工作,2573393.txt
两部委关于促进食品工业健康发展的指导意见,工信委,2017-01-14 14:15, 013353737/2018-02744385,食品工业,其他,2744385.txt
医药工业发展规划指南,工信委,2016-11-08 14:09, 013353737/2018-02744376,规划,国民经济发展规划、计划,2744376.txt
石化和化学工业发展规划（2016-2020年）,工信委,2016-10-17 11:42, 013353737/2018-02744319,规划,国民经济发展规划、计划,2744319.txt
新《中华人民共和国节约能源法》（2016年7月修订）,工信委,2016-10-08 15:52, 013353737/2018-02745914,法律,司法,2745914.txt
纺织工业发展规划（2016－2020年）,工信委,2016-09-30 14:11, 013353737/2018-02744379,规划,国民经济发展规划、计划,2744379.txt
轻工业发展规划（2016－2020年）,工信委,2016-08-12 14:07, 013353737/2018-02744373,规划,国民经济发展规划、计划,2744373.txt
水泥行业规范条件（2015年本）,工信委,2015-02-02 14:28, 013353737/2018-02744465,规范,其他,2744465.txt
​中华人民共和国监控化学品管理条例,工信委,2014-05-22 17:51, 013353737/2018-01061097,危险化学品,安全生产监管,1061097.txt
​《中华人民共和国监控化学品管理条例》实施细则,工信委,2014-05-22 17:49, 013353737/2018-01061093,危险化学品,安全生产监管,1061093.txt
各类监控化学品名录,工信委,2014-05-22 17:48, 013353737/2018-01061078,危险化学品,安全生产监管,1061078.txt
国务院关于推进物联网有序健康发展的指导意见,工信委,2013-02-21 16:33, 013353737/2018-00581238,意见,文秘工作,0581238.txt
国务院关于大力推进信息化发展和切实保障信息安全的若干意见,工信委,2013-02-21 16:29, 013353737/2018-00581233,意见,文秘工作,0581233.txt
工业和信息化部关于推进物流信息化工作的指导意见,工信委,2013-02-21 12:59, 013353737/2018-00580991,信息化,其他,0580991.txt
乳制品工业产业政策（2009年修订）,工信委,2011-11-23 19:06, 013353737/2018-02744487,产业政策,其他,2744487.txt
乳制品加工行业准入条件,工信委,2011-11-23 19:05, 013353737/2018-02744500,乳制品加工,其他,2744500.txt
耐火粘土（高铝粘土）行业准入标准,工信委,2011-11-23 14:58, 013353737/2018-02745780,标准,标准,2745780.txt
磷铵行业准入公告管理暂行办法,工信委,2011-11-22 22:55, 013353737/2018-02745801,办法,文秘工作,2745801.txt
氟化氢行业准入公告管理暂行办法,工信委,2011-11-22 22:50, 013353737/2018-02745820,办法,文秘工作,2745820.txt
西安市人民政府办公厅关于支持实体经济发展若干财税措施的意见,工信委,2018-07-14 10:15, 013353737/2018-02958891,意见,文秘工作,2958891.txt
西安市人民政府办公厅关于印发《西安市新能源汽车推广应用地方财政补贴资金管理暂行办法》的通知,工信委,2018-06-01 18:13, 013353737/2018-02958885,通知,文秘工作,2958885.txt
西安市人民政府办公厅关于印发《弘扬企业家精神 营造诚信市场环境行动方案》的通知,工信委,2018-05-14 10:10, 013353737/2018-02958882,通知,文秘工作,2958882.txt
西安市人民政府办公厅关于印发加强和改善营商环境五个工作方案和二十一个行动方案的通知,工信委,2018-05-08 09:09, 013353737/2018-02958879,通知,文秘工作,2958879.txt
西安市人民政府办公厅关于印发促进光伏产业持续健康发展实施意见的通知,工信委,2018-04-18 18:07, 013353737/2018-02958870,通知,文秘工作,2958870.txt
关于印发西安市2018年政府工作报告任务分解意见的通知,工信委,2018-03-19 14:14, 013353737/2018-02774381,通知,文秘工作,2774381.txt
西安市工业补短板实施方案,工信委,2018-02-23 20:02, 013353737/2018-02917851,工业补短板,其他,2917851.txt
关于加快工业优结构促发展的实施意见,工信委,2018-02-06 20:22, 013353737/2018-02917893,工业优结构促发展,其他,2917893.txt
关于印发西安市新能源汽车生产销售企业及产品审核备案暂行规定的通知,工信委,2017-11-20 15:56, 013353737/2018-02630685,通知,文秘工作,2630685.txt
西安市人民政府印发关于推动2017年下半年工业促投资稳增长实施意见的通知,工信委,2017-10-18 14:54, 013353737/2018-02601514,投资,重大项目建设,2601514.txt
西安市公共信用信息管理办法,工信委,2017-09-19 15:56, 013353737/2018-02576376,办法,文秘工作,2576376.txt
西安市大数据产业发展实施方案（2017—2021年）,工信委,2017-08-08 16:43, 013353737/2018-02522895,方案,文秘工作,2522895.txt
西安市人民政府办公厅关于印发营造良好市场环境促进有色金属工业调结构促转型增效益实施方案（2016—2020年）的通知,工信委,2017-07-25 15:32, 013353737/2018-02508396,通知,文秘工作,2508396.txt
西安市人民政府关于印发供给侧结构性改革去产能行动计划的通知,工信委,2017-07-18 19:01, 013353737/2018-02507076,改革,经济体制改革,2507076.txt
西安市人民政府关于促进民营经济加快发展的若干意见,工信委,2017-07-18 14:28, 013353737/2018-02504475,民营,国民经济发展规划、计划,2504475.txt
组合拳！西安将多措并举促进规上工业企业群发展壮大,工信委,2018-09-07 11:33, 013353737/2018-02950541,解读,其他,2950541.txt
《推动企业上云实施指南（2018-2020年）》解读,工信委,2018-09-07 11:23, 013353737/2018-02950522,政策,其他,2950522.txt
《工业互联网平台评价方法》解读,工信委,2018-07-20 17:38, 013353737/2018-02917339,工业互联网平台,其他,2917339.txt
《工业互联网平台建设及推广指南》解读,工信委,2018-07-20 17:37, 013353737/2018-02917326,工业互联网平台,其他,2917326.txt
《工业和信息化部“双随机一公开”监管实施办法》解读,工信委,2018-07-17 10:35, 013353737/2018-02917308,双随机一公开,其他,2917308.txt
《关于加快工业优结构促发展的实施意见》解读,工信委,2018-04-29 11:13, 013353737/2018-02814821,政策,其他,2814821.txt
为追赶超越和国际化大都市建设提供强有力的产业支撑——《西安市工业补短板实施方案》解读,工信委,2018-04-29 11:03, 013353737/2018-02814817,政策,其他,2814817.txt
图解：陕西省民间投资追赶超越发展行动计划,工信委,2018-03-23 10:11, 013353737/2018-02778990,政策解读,其他,2778990.txt
《关于深化“互联网+先进制造业”发展工业互联网的指导意见》的系列解读 解读五：构建工业互联网生态体系,业和信息化部,2018-02-12 16:48, 013353737/2018-02746023,政策,其他,2746023.txt
《关于深化“互联网+先进制造业”发展工业互联网的指导意见》的系列解读 解读四：培育产业促进融合,业和信息化部,2018-02-12 16:04, 013353737/2018-02746020,政策,其他,2746020.txt
《关于深化“互联网+先进制造业”发展工业互联网的指导意见》的系列解读 解读三：强化安全保障,业和信息化部,2018-02-12 16:03, 013353737/2018-02745950,政策,其他,2745950.txt
《关于深化“互联网+先进制造业”发展工业互联网的指导意见》的系列解读 解读二：打造平台体系,业和信息化部,2018-02-12 16:01, 013353737/2018-02745946,政策,其他,2745946.txt
《关于深化“互联网+先进制造业”发展工业互联网的指导意见》的系列解读 解读一：夯实网络基础,业和信息化部,2018-02-12 15:59, 013353737/2018-02745934,政策,其他,2745934.txt
